q13_text,q14_text,q15_text,q16_text,q17_text
correto,correto,referente,"provável
",intensao
NA,NA,NA,NA,NA
o crime é mais grave.,o crime é mais grave.,o crime é mais grave.,cometeu o crime mais grave.,o crime é mais grave
NA,NA,NA,NA,NA
uma opção que se adequa mais,prefiro não especificar,caso 1 apresenta mais indícios que merece a pena,o fato de tirar a vida de uma pessoa pesa muito,criminoso 2 faz parte de gangue
pq agir contra alguém da própria família é desumano e idoso pior ainda,pq a vítima foi assassinada,pq os dois tinham a mesma idade e um adolescente matou o outro,estupro de criança é algo muito grave,pq um assassinato considero sempre pior q um roubo
"porque o criminoso era branco, e pela natureza do crime. mas acredito que ninguém deva ser linchado.",por ser um crime mais pesado. mas não concordo com linchamentos.,"pela natureza do crime, mas não concordo com linchamentos.","pelo criminoso ser homem, mas não concordo com linchamentos.","pela natureza do crime, mas não concordo com linchamentos."
NA,NA,NA,NA,NA
não sou a favor de linchamentos mas se tivesse que justificar seria em função do crime ter sido assassinato e a vitima ser um idoso.,crime assassinato vítima idoso.,o caso dois e impossível justificar. a polícia lanchar uma mulher seria injustificável.,crime assassinato. linchadores a familia de um idoso. hipoteticamente justificavel.,moléstia a uma mulher.
acham que mulher e fragil,porque homem estao sempre a favor de fazer isso,NA,NA,NA
por conto do assasinato,"o crime, molesta",o estupro,NA,NA
NA,NA,NA,NA,NA
minha opinião,NA,NA,NA,NA
molestar uma pessoa causa profundos danos no psicológico e na vida social da vítima,"mesma justificativa do de cima, estuprar uma criança é um crime que afeta diretamente a vida da pessoa",assassinar uma pessoa é um crime muito pior do que roubar um carro. se analisarmos quem linchou o criminoso negro podemos ter uma análise de como a justiça é racista.,molestar é um crime pior que bater carteira,molestar uma criança tem mais peso que assassinar um idoso
eu odeio estupro,por ter molestado,por ser adulto,por ter assassinado,por ter assassinado
eu achei muito mais interessante,muito interessante,eu nao sei,não prefiro respondo,não sei
"nao acredito que linchamento seja justificável, mas tinha que escolher uma das opções","nao acredito que linchamento seja justificável, mas tinha que escolher uma das opções","nao acredito que linchamento seja justificável, mas tinha que escolher uma das opções","nao acredito que linchamento seja justificável, mas tinha que escolher uma das opções","nao acredito que linchamento seja justificável, mas tinha que escolher uma das opções"
"pelo fato de ter molestado alguém, dinheiro pode recuperar mas o trauma que uma molestada pode causar é irreparável.",pois é adulta e já tem mais entendimento sobre o que é certo ou não.,"pois molestou e isso é inadmissível, a idosa deve passar o resto da vida na cadeia pelo seu crime.","pois seu crime é irreparável, diferente do bater a carteira.",pois é adulto e tem mais noção de seus atos.
nada se justifica ao lixamento mas tem casos que as pessoas faz justiça com a própria mão,nada justifica o lixamento mas tem casos que a pessoa faz justiça com própria mão,nada justifica o lixamento mas tem casa que as pessoas fazem justiça com as próprias mãos,mário se justifica o lançamento desta em casos que as pessoas fazem justiça com as próprias mãos,nada se justifica o fechamento mas tem casa que as pessoas faz justiça com as próprias mãos
estupro ponto,idade da vítima,crime,crime,crime
pq tem que escolher na pesquisa mais errou tem que ser punido,porque tem que escolher na pesquisa mais errou tem que ser punido,pq o questionário não tem outra opção pq errou tem que ser punido os dois,pq não tem outra opção para o dois errou tem que ser punido,pq só tem essas opções os dois estão errados e erro tem que ser punido dentro das leis lógico
o agressor escolheu como vítima uma criança do gênero feminino.,"a polícia deveria existir para proteger a população e não agir de forma corrupta. se o próprio policial agiu dessa maneira, o que esperar de outras pessoas?",assassinato.,estupro é um crime grave,estupro de incapaz
NA,NA,NA,NA,NA
feminicídio,NA,não posso concordar com o linchamento de uma criança,porque tirou a vida de uma pessoa,porque tirou a vida de uma pessoa
roubou um carro e não apenas uma carteira,molestou uma criança,roubou um idoso,escolhi o caso 2 porque o caso 1 era um idoso,porque matou
nao concordo com linchamiento,nao concordo com linchamiento,nao concordo com linchamiento,nao concordo com linchamiento,nao concordo com linchamiento
pq sim,pq sim,pq sim,pq sim,pq sim
NA,NA,NA,NA,NA
porque a maior incidência de crime é cometida por homens,idoso é bastante vulnerável e tem o tempo de resposta menor,pode ser que seja um possível seri killer,é um caso diferente e que precisa ser estudado melhor,"apesar da idade, violar a intimidade de alguém é inaceitável"
"principalmente levando em conta a idade do criminoso, que teria mais condições de entender suas ações",novamente levei em consideração a idade do agressor,dessa vez levei em consideração a gravidade do crime,levei em consideração a gravidade do crime,em razão de ser um crime que atinge pessoa enquanto o outro foi contra patrimônio
principalmente por ter assassinado,tenho horror a crime de molestar,como disse molestar é mais que grave,assassinato,pelo assassinato
NA,NA,NA,NA,NA
"pois a vítima está em completa desvantagem ,sem condições de reagir.",sou totalmente contra a abuso independente da cor da pela,pois molestou sexualmente um indivíduo vulnerável.,pois assassinou um indivíduo vulnerável.,assassinou uma criança
NA,NA,NA,NA,NA
"eu não sou a favor do linchamento, mas como tenho que optar escolho o caso 1 por não se tratar de um idoso.",porque não é idosa,porque é mais jovem e o crime mais pesado,"os dois casos são horríveis, mas num caso como esses acho que a família da vítima teria mais razões para fazer isso.",porque estupro geralmente causa mais revolta
porque a maioria dos crimes são práticados por homens,a maioria dos criminosos são homens,homens pratica mais crimes,homens são os mais praticadores de crimes,homens pratica mais estupros
"por que não há a possibilidade de não concordar, pois linchamento não é o correto, o certo é haver julgamento.",mesma resposta da primeira.,mesma resposta da primeira.,mesma resposta da primeira,mesma resposta da primeira
"de acordo com o que foi proposto houve  um assassinato de uma criança, mesmo não concordando com o linchamento acredito que isso seja o pior.","assim como o primeiro, o assassinato é algo abominável.",pelo fato de ter molestar.,atualmente o estupro é visto em todos os lugares como algo imperdoável principalmente quando se trata de criança.,"nenhum dos dois é muito justificável, mas o fato de que estamos cansado do que acontece acabam fazendo isso."
"em nenhum caso acho justificável, mas como não tem essa opção acho assassinato mais sério e grave","não acho justificável um linchamento, apenas a justiça pode fazer justiça",ambos casos tem a mesma importância,NA,nenhum caso é justificável
cada um de uma maneira. por parte de mim acho que não exista justiça melhor do que a de deus. ele cobra cada erro do ser humano.,como já falei na primeira questão. justiça só a de deus.,justiça só a de deus.,"somos pecadores, então não devemos julgar erros de ninguém.",NA
"não sei responder,o extinto",momento,o momento de calor,a situação,indignação
"na verdade os dois casos são justificáveis, mas creio que no caso 2 onde houve assassinato,no meu ponto de vista é mais grave.",mesma coisa que a anterior. houve assassinato então para mim é mais grave.,acho que linchamento por gangues muitas vezes se aproveitam por estarem em maior quantidade.,houve assassinato.,linchamento por gangues geralmente número maior de pessoas.
estrupo é  o pior crime e tem que se linchado mesmo,mesma opinião  estrupo,mesma opinião,mesma opinião,mesma opinião
"não acho que o linchamento seja correto nem justificado em nenhum dos dois casos, ou em qualquer que seja. sou totalmente contra este tipo de ato!",NA,NA,NA,NA
por que não tem respeito na sóciedade,não a estrupo culposo,por não tem respeito,não tem respeito,não tem respeito
pelo motivo do crime,pelo motivo do crime,"pelo motivo do crime, idade da vítima",pela idade do criminoso,pela idade da vítima e pelo crime
criança,crime mais grave,criança,gravidade do crime,gravidade do crime
NA,NA,NA,NA,NA
pelo gênero e idade da vítima.,pelo crime cometido.,não acharia certo o lixamento em nenhum dos casos.,pelo motivo do crime.,pelo motivo do crime.
porque a vítima foi uma mulher,assassinato é algo mais grave,NA,NA,NA
por que foi o crime contra uma criança,pois o criminoso é adulto,porque molestou uma criança,porque estrupou uma criança,porque houve um estupro
porque geralmente são homens e não pessoas idosas,porque os linchadores são os vizinhos que vêem o caso sendo acontecido,porque geralmente a vítima é feminina,por ter assassinato,porque a família da vítima sempre vai querer linchar pela raiva que van estar
NA,NA,NA,NA,NA
"no caso 1 a polícia estava perto e pronta pra ajudar, e a vítima era adulta, no caso 2 já era um adolescente indefeso é só tinha os próprios cidadãos q o ajudaram",NA,NA,NA,NA
não sei,não sei,não sei,não sei,não sei
NA,NA,NA,NA,NA
poque os dois são igual,não sei,poque sim,poque sim,poque sim
pelo fato de ter um idoso no 1° caso,por causa do asiático,"por causa do roubo do carro, uma pessoa mais próxima saberia sobe o veículo",NA,NA
porque estupro é muito mais grave do que um abate de carteira,"os dois são completamente inaceitáveis, mas tirar a vida de uma pessoa é mais grave",assassinato é mais grave,assassinato é mais grave,os linchadores foram a família da vítima
a sociedade negra sofre muito com isso,por conta da idade e do assassinato,NA,por molestar normalmente a pessoa que faz isso é mal vista na sociedade,pq a polícia não linxa
e um absurdo bater em uma mulher,sou contra o estrupo,minha opinião,sou contra furto ou roubo,sou a favor do linchamento se roubar
"porque violentou uma mulher, isso traz serios danos para a vida dela","os dois cometeram o mesmo crime, dificil dizer",dificil dizer,não acho justificavel o linchamento nesse caso,"2, por ter tirado a vida"
eu repúdio qualquer forma de estupro,repúdio estupro,repúdio ao estupro,repúdio esse tipo de crime,atentou contra a vida de inocente
muitos homem bate em mulher merece punição,homem erra muito,homem é feio bate em mulher,odeio homem,homem vive batendo em mulher
na hora de raiva a pessoa fica fora de si!,NA,NA,NA,NA
por que nesse país só tem racismo,racismo no país está difícil,orientais geralmente são pessoas que não são muito julgados,cor da pele julga muito nesse país,mulheres são julgadas bastante
molestar menor de idade é pedofilia que não deve ser aceita nunca,feminicidio é algo horrível e inaceitável,NA,NA,NA
"roubou um carro
nao e que seja justificado 

mais suamos para ter um bem ai vem um indivíduo e leva nosso bem","crime roubou foi pego merece ganhar uma massagem
",crime nao compensa,roubo em si merece uma massagem,molestou uma crianca merece a morte
"eu condeno toda forma de linchamento. mas já que tem que escolher, de um lado pesa por ser indígena, porém o outro tem uma mulher e um idoso, além de uma criança. acho que esses sofreriam mais fisicamente. obs: salvem o povo indígena","repúdio total a isso, não se pode escolher um absurdo desses. porém, pelo crime e pela situação da vítima de linchamento","repúdio total a isso, não se pode escolher um absurdo desses. porém, pelo crime e pela situação da vítima de linchamento","repúdio total a isso, não se pode escolher um absurdo desses. porém, pelo crime e pela situação da vítima de linchamento","repúdio total a isso, não se pode escolher um absurdo desses. porém, pelo crime e pela situação da vítima de linchamento"
"sou contra lichamento, porem justifica por causar muita revolta",por se tratar de uma crianca,por ter tirado a vida de um ser indefeso,ter tirado a vida de uma crianca inocente,causa revolta
pelo estupro,por envolver criança,por envolver criança,estupro,feminicidio
porque de fato aconteceu o estupro.,"acredito que o roubo de um carro valha mais do que o de uma carteira, porém depende, se havia documentação na carteira, também seria um grande prejuízo.",NA,não sei quais foram os motivos da idosa.,NA
NA,NA,NA,NA,NA
o ato de molestar alguém indefeso é uma crueldade.,minha escolha não é pela cor da pele ..isso é indiferente.mas o ato criminoso é inaceitável.,não julgo a reação da família.,o ato foi o mais horrível.,inaceitável este tipo de conduta.
pq estupro é um dos piores crimes,pela vítima ser um idoso,por se tratar de vítima mulher,por molestar uma idosa,pelos linchadores serem os próprios vizinhos
"escolhi porque tinha que escolher, mas não concordo de forma alguma com violência. mas achei o caso 1 mais problemático embora ambos sejam crimes horríveis.","mesmo não concordando com linchamento, escolhi  o segundo caso motivado principalmente pelo crime cometido e pela idade da vítima.",idade da vítima.,idade da vítima.,idade da vítima
e bom,é bom,bom,bom,bom
porque o agressor molestou e era adolescente.,"porque foi linchado por gangues, logo devia à elas","porque ademais de ser linchado por gangues, cometeu um crime bastante presente no nosso país, a  violência contra a mulher","homens são bastante privilegiados e a partir do momento que o gênero do criminoso é masculino e da vítima feminino, temos um crime grave",porque assassinou. nenhum ser fora da lei pode quitar a vida de alguém
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
porquê estatisticamente é o mais provável de acontecer,"na realidade achei que ambos, porém a criança por parecer mais vulnerável é mais justificado","polícia não tem porquê linchar, eles tem que cumprir com a lei, as gangues são mais plausíveis de ocorrer",assassinato pra bater carteira é bem justificado pra ocorrer isso,"molestar óbvio que deixou claro o que é mais grave, bater carteira é bem material"
estupro é um crime muito mais grave,por se tratar de um crime mais grave,crime mais grave,crime mais grave,crime mais grave
por eu ser mulher sempre me sinto mais ameaçada por homens.,por ter abatido carteira,por ter assassinado,por ter cometido assassinato,por ser mulher um dos maiores medos do dia a dia é  ser estrupada.
na verdade nenhum linchamento e justificado mas se vc para escolher molestar,pq molestar uma coisa que marca mexe com a estrutura emocional invansao,estupro abala tudo,roubo de carro,estrupo
adulto sabe o que faz,adulto sabe o que faz,homem tem mais força,criança é indefesa,assassinato de incapaz
porqie é um estupro.,assassinato.,roubo,abusou,assassinato
assassinato,"ambos devia morrer, mas nesse caso a 1 por ser criança",estupro é inaceitável,assassinato é inaceitável é o cado 2 também isso é como se fosse estupro.,estupro é inaceitável
NA,NA,NA,NA,NA
por ser um ato emocional,NA,sou mulher é devido à gravidade do crime,NA,NA
porque sim,porque sim,porque sim,porque sim,porque sim
"pela maior gravidade do crime cometido, que tem um efeito impossível de ser mudado.",pela maior gravidade do crime cometido.,porque os próprios ofendidos cometeram o ato.,porque os próprios ofendidos cometeram o ato.,"pela maior gravidade do crime cometido, que tem um efeito impossível de ser mudado ou reparado."
NA,NA,NA,NA,NA
estupro,violência em mulheres,racismo,NA,NA
NA,NA,NA,NA,NA
não sei,não sei,não sei,não sei,não sei
NA,NA,NA,NA,porque ele é mais convincente
porque crime com criança é pior,abuso sexual é inadmissível,estupro tem que ter pena de morte,crime não tem raça,polícia tem que bater em criminoso
eu escolheria os dois na verdade,matou uma criança,não escolheria nenhum,"não escolheria nenhum, deveria ter essa opção",escolheria os dois
NA,NA,NA,NA,NA
porque nem todo negro é bandido,porque todo estrupador/ molestador merece morrer,porquem quem assassina merece ser assassinado,porque sim,porque eu ja falei acima que quem estrupa/ molesta merece ser linchado
NA,NA,NA,NA,NA
pelo crime que comenteu. é bárbaro.,caso cruel. sem perdão,crime mais ediondo,molestar. é algo muito traumático.,ambos.
pq é assim.,infelizmente.,aconteceu.,infelizmente.,aconteceu comigo.
NA,NA,NA,NA,NA
"estupro é algo sério 
a vítima ainda estará viva, sofrendo com isso","estupro é algo sério 
a vítima ainda estará viva, sofrendo com isso","estupro é algo sério 
a vítima ainda estará viva, sofrendo com isso","estupro é algo sério 
a vítima ainda estará viva, sofrendo com isso","estupro é algo sério 
a vítima ainda estará viva, sofrendo com isso"
porque a família de uma vítima pode ficar sob forte emoção após o cometimento de uma atrocidade contra uma criança,"porque estupro é crime hediondo
","porque estupro, quanto mais de criança, gera revolta enorme
",por ser contra idoso,por ser de homem contra mulher
"estrupo pra mim não tem perdão,  independentemente se for homem ou mulher",matar uma criança? é sério isso? o mundo tá louco só pode,assassinato é mais pesado,e mais uma vez o estrupo,estrupo pra mim sempre será o mais pesado
NA,NA,NA,NA,NA
NA,muito descriminado,descriminação,descriminação,descriminação
porque a outra alternativa sita criança e nao concordo,assassinato,molestou,molestou,sem explicação
NA,NA,NA,NA,NA
porque faz mais sentido,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,nenhum,nenhum,NA
NA,NA,NA,NA,NA
pelo crime de estupro,foi o crime mais grave assasinato,fiquei sem opção mesmo. em ambos os casos é injustificado.,"fiquei sem opção, em ambos os casos alem de surreal é injustificado",feminicidio
por mao se tratar de idosos ou crianças,todos adultos,pelo estupro,pelo crime de assassinato,má atuação da polícia
NA,NA,NA,NA,NA
quando a vitima e uma criança e indefensavel.,vitima criança.  independe da cor ou raça,idosos geralmente sao mais indefesos,1 geralmente a mulher e pega por emboscadas. impossibilitando a defesa da vitima,se os linxadores sao policiais geralmente estao cansados de prender os bandidos e a justiça morosa soltar. violencia sexual nao e tolerado por ninguém.  ate mesmo porque o senso de empatia fatalmente falara mais alto.
pelo fato da vítima ser uma criança,molestou,molestou uma criança,molestou,molestou
por quê existe a condição de ser alguém na vida mas escolhe fazer coisas erradas.,melhor apanhar da família do que na rua.,por ter condições de ser alguém na vida,por ser da policia,por não querer nada com a vida
NA,NA,NA,NA,NA
não sou favorável a linchamento,não sou favorável a linchamento,não sou favorável a linchamento,nao sou favorável a linchamento,"nao sou favorável a linchamento, especialmente vindo de quem deveria ser agente da lei"
acredito que são pessoas mais sensíveis a vilões via,por causa da impunidade,estupro não e tolerável,o homem sempre será julgado nessa historia,a camila sempre reagem
porque abusou de uma criança,porque estupro é crime é terrível isso,porque assassinato é crime terrível,porque matar não se resolve nada,porque não acho certo
NA,NA,NA,NA,NA
"não concordo totalmente com o caso, em algumas situações acredito que o linchamento possa valer, uma vez que muitos dos crimes ficam impunes",escolhi o caso por causa do estupro,concordo com o caso devido ao assassinato,concordo com o linchamento nos dois casos,devido à idade e gênero da vítima
achei certo,NA,NA,NA,NA
NA,NA,NA,NA,NA
vítima é só uma criança.,porque o criminoso é um homem,homem é o criminoso.,homem.,NA
pela gravidade do crime cometido.,pela gravidade do crime.,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
naturalmente uma mulher não cometeria o crime de molestar um homem,"independente de ser família ou não o crime é contra um adolescente, a família tem mais direito a justiça",casos de assassinato tem mais respaldo da justiça,não se deve cometer crime contra crianças,não se deve cometer contra indefesos neste caso uma criança
NA,NA,NA,NA,NA
"pq mor a no local e molestou. acho grave
",pq mora no local,assassinato é mt grave,"o assassinato é  pior.
no primeiro caso poderia ser consessual.",nesse esc9lhetia os dois.  mas como assassinato é  pior... opto por este
escolhi apenas por ser obrigatório escolher. não acredito que linchamento seja justificável em nenhuma situação.,escolhi apenas por ser obrigatório escolher. não acredito que linchamento seja justificável em nenhuma situação.,escolhi apenas por ser obrigatório escolher. não acredito que linchamento seja justificável em nenhuma situação.,escolhi apenas por ser obrigatório escolher. não acredito que linchamento seja justificável em nenhuma situação.,escolhi apenas por ser obrigatório escolher. não acredito que linchamento seja justificável em nenhuma situação.
"não apoio o linchamento. estou escolhendo pois nao ha opçao. 
",NA,NA,NA,NA
"os “criminosos” são os negros, por puro preconceito racial, seja serem culpados ou não, as pessoas lincham sem saber o que realmente aconteceu justamente por serem negros","por conta da cor da pele, negro não tem um dia de paz",por ser mulher,por ser mulher e por sua etnia,por ser asiático
"porquê uma criança, e alvo fácil na mão de um adulto.",porquê roubo de carteira e algo admissível.,não se pode molestar ninguém.,não se pode molestar ninguém.,roubar e muito errado
"falta de respeito ,isso não se faz",um absurdo pegá alguém a forca,NA,NA,NA
acho que ninguém deve matar ninguém mas no brasil infelizmente a lei é muito fraca,porque só assim um criminoso paga no brasil,porque só assim um criminoso paga no brasil,porque esses crimes tem que ter punição e infelizmente nossas leis não servem,porque só assim um criminoso paga
feminicidio,NA,NA,NA,NA
NA,NA,NA,NA,NA
pois é o que mais encontramos!,se,NA,NA,NA
"a familia age como forma de lutar pela justiça
",a polícia por dever tem que agir pela lei.,por o outro criminoso ser um idoso,família da vítima de novo,uma criança colocada em risco  não é certo
preconceito,preconceito,preconceito,preconceito,preconceito
"nenhum dos dois, mas se for pra escolher um mais justificável, seria o do crime de abuso sexual","pelo mesmo motivo da pergunta acima, crime sexual",nenhum dos dois casos acho justificável,nenhum dos dois casos acho justificável o linchamento,os dois casos acho passível de linchamento
NA,NA,NA,NA,NA
estupro,assassinou,família da vítima,assassinou,estuprou
"o estupro é algo muito assustador, não sou a favor do linchamento, mas sou a favor da penalidade máxima para esses casos. nessa questão, o estupro e quando é a família e está num momento de fúria e aconteça o linchamento eu não vou de contraponto a isso.","como disse anteriormente, o estupro é indiscutível nesses casos.","qualquer agressão contra mulher, criança e idosos é algo que não podemos admitir.",a questão do estupro e da criança,estupro e criança envolvidas no caso
não sou a favor de linchamento,não sou a favor de linchamento,não sou a favor de linchamento,não sou a favor de linchamento,não sou a favor de linchamento
escolhi o 1 por conta do estupro,família tem que fazer algo a respeito,por ter molestado,assssinto,NA
eu não irei escolher nenhum só escolhi por falta de opção.,falta de opção sou contra qualquer ato de violência.,todo crime é  injustificável.,falta de opção contra a violência o criminoso tem que pagar na cadeia.,falta de opção a cadeia é  o lugar de um criminoso.
por que é o melhor caso,por que é esse caso,por que sim,esse aí,por que quiz
pelo crime cometido,por a vítima ser idoso,por ser contra idoso,pelo crime cometido,NA
bem maior,bem maior,mais grave,mora em outro bairro,NA
por falta de opção de escolha,nao sei explicar,acho que por racismo,nao sou a favor de linchamento em hipótese alguma,NA
NA,"pelo fato de que um idoso molestou uma mulher só pelo fato dela ser mulher e por usar roupas que ele julga"" indevidas""","requerente a vítima ser uma criança e não ter uma noção sobre o que é certo e errado , sangue inocente e pelo fato de ser indígena.",pelo fato de estupro a uma mulher que não queria nada com o autor do crime e importuno da mesma.,"pelo fato de ser uma criança e não saber distinguir o certo do errado, e a única maneira não é apenas""matar"""
NA,NA,NA,NA,NA
NA,criança não sabe se defender.,criança não sabe defender,NA,crime sem perdão
mulheres sempre são atacadas,criança e incontestável,mulher mais indefesa,estupro não tem perdão,estupro não tem perdão
na verdade nenhum dos dois.,NA,NA,na verdade nenhum dos dois.,NA
"por molestar a vítima é gerar possíveis transtornos mentais físicos e psicológicos na vítima, a pena deveria ser maior e mais branda.","estupro deveria ser pena de morte ou lei mais rígidas para que o autor do crime não saia impune e sofra o mesmo que a vítima dele sofreu. independente de cor, raça, religião ou partido político. fez tem que pagar!",não só linchar mas como fazer o autor perder mobilidade físicas para sofrer até o último dia da vida dele,"estupro deveria ser morte, ainda mais sendo com crianças. ou perca de membros e órgão genitais, para que sofra até o fim da vida.",molestar uma pessoa deveria receber uma boa lição para pensar no q fez. linchamento é pouco só iria amaciar a carne do criminoso
o gênero masculino tem mais força sobre mulheres idosos e crianças,eu não acho que seja justificado porém as polícias são racistas e mesmo sendo errado elas optaram  por um negro,é crime,ninguém tem direito de tirar a vida de outras pessoas,a gang  sempre defende o seu bairro
"porque violou  integridade física de um menor
",porque violou  integridade física de um menor,porque violou integridade física de outrem,porque violou integridade física de um menor,porque violou integridade física de um menor
porque precisava escolher um.,porque precisava selecionar algum,porque precisava selecionar um e esse foi o caso mais grave,tá seguindo o mesmo padrão. selecionei pq é obrigatório é o caso mais grave,"era o mais grave, e pq precisava selecionar um"
crimenoso tem. que ser punido,criminoso tem que ser punodo,criminoso tem que ser punido,criminoso tem que ser punido,nenhum crimonoso deve ficar impune
"acho que nada justifica o lichamento , pois temos a justiça, mas assassinato e muito grave por isso escolhe o caso 1","acho que nada justifica o lichamento , pois temos a justiça, por isso escolhe o caso 1","acho que nada justifica o lichamento , pois temos a justiça, mas assassinato e muito grave por isso escolhe o caso 1","acho que nada justifica o lichamento , pois temos a justiça, mas assassinato e muito grave por isso escolhe o caso 1","acho que nada justifica o lichamento , pois temos a justiça, mas assassinato e muito grave por isso escolhe o caso 1"
porque considerei por serem mais graves.,não sei ao certo...,por ser de maior,porque sim,foi o mais justificável
com mulher não se mexe! ainda mais criança...,molesto é o fim!,criança é anjo,matar é triste,molestar é mais grave
eu cortaria os braços e o pinto. gente sem pinto e sem braço não estupra nunca mais.,NA,NA,NA,NA
....,....,...,...,...
escholhi o 2 pela vítima ser criança é o crime ser grave.,escholho o 2 pela gravidade do crime.,caso 2 pois estupro é pior que roubo na minha opinião.,caso 2 pela vítima ser criança.,gravidade do crime praticado.
por ser adulto e pelo crime de estupro.,carro tem seguro e é mais fácil encontrar,por ser estupro,por ser mulher a vítima.,NA
porque são. muito mal educados,o bandidos acham mais facil,são mais facil,são locos,locos
não sou favorável a linchamentos em nenhuma situação,não sou favorável a linchamentos em nenhuma situação,não existe justificativa para linchamentos,não sou favorável a linchamentos em nenhuma situação,não sou favorável a linchamentos em nenhuma situação
"acho que não justifica uma resposta a violência com violência, entendo q eh complicado segurar a raiva e não tiro a razão de quem perde a cabeça...",NA,NA,NA,NA
por ser masculino unicamente isso não se pode bater em mulher,por ser mulher mais velha  (ambos os casos)e pq assadinho alguém isso é algo mais complicado de se interpretar pela sociedade,"por ser masculino e somente roubou uma carteira acredito que uma ""correção"" desse nível ( linchamento) e um modo menos severo de punir quem sabe o ladrao não venha mais fazer ido e não ir preso e sair pior do que quando entrou",por ser masculino mais uma vez ... não se bate em mulher,por mais que não se possa bater em mulher a pessoa matou alguém isso não é visto bem aos olhos da sociedade
o caso 1,pk envolvendo crianças,assassinato,a família,parece-me o motivo
"em modo geral não sou a favor de linchamento, mas o caso de roubo a carro é mais grave do que carteira",atentado a vida,estupro,NA,caso de molestamento
"por conta do ato cometido, que é um estupro. algo sério.",poi’s foi um assassinato,NA,NA,NA
porque o outro caso parece legitima defesa. esse foi assalto.,NA,NA,NA,NA
pela idade da vítima,pela idade do acusado,pelo tipo de crime,pela idade da vítima,pelo tipo de crime
"porque eu odeio quem molesta, não importa a vitima, eu concordo com o linchamento","assassinato não tem perdão para mim 
","os dois casos são parecidos mas, para um jovem que vive na cidade conhece bem as regras e ainda prática esses crimes, eu acho que é pior","um idoso, com idade já sabe das regras e fica molestando pessoas não nao, não aceito isso não","molestou uma criança, também não teria o meu perdão, daria pena de prisão perpétua para ele morrer na prisão"
por linchar crianças,por ser idoso,por ser estupro,pq molestou,pq molestou
NA,NA,NA,NA,NA
minha opinião,ok,n,NA,NA
por ser homem e saber muito bem oq fez,por já ser uma assassina,os 2 são injustificáveis,pq estupro é crimee,pq mereceu
achei mas justo,concordo porque é exatamente isso,não tinha nenhuma opinião formada,e o que eu penso a respeito,bom é isso que eu acho
moléstia,é o certo,justiça,correto,também acho correto
feminino,racismo,preconceito,"covardia
",abuso
por ser estupro.,por ser criança,NA,feminicidio,nenhum ser humano merece ser morto injustamente.
NA,NA,NA,NA,NA
ruim,o rival,ruim,mais ou mesmo,insatisfeito
NA,assassinato,NA,NA,NA
NA,porque era um estupro,molestamento,estupro,assassinato
pq é adulto,tbm não sei,pq sim,pq sim,pq sim
pelas circunstâncias.,circunstâncias,NA,NA,NA
porque é o mais comum.,por ser o mais comum,por ser o mais comum,por ser o mais comum,por ser o mais comum
por que pelos olhos e ouvidos da maioria das pessoas muitas vezes a culpa é da mulher ou da criança  ou do pobre,por que muitas vezes a culpa é do negro por ele ser negro. há muitas pessoas racistas.,pelo mesmo motivo que a primeira resposta,.,.
é o normal é o que acontece,mais ocorrido,mais ocorrido,mais ocorrido,mais ocorrido
porque axei melhor o primeiro,por que é o melhor caso,porque ao melhor caso,porque homem sim,porque e homens
porque sim,por que,NA,por que sim,por que sim
é muito complicado sobre essa situação,por nada,nenhum,nenhum,nenhum
achei o caso complicado,não gostei muito,é muito complicado,não gostei,também gostei
NA,NA,NA,NA,NA
"sem justificativa plausível, mas tem questões que o indivíduo já mora no bairro e em certas ocasiões já é ""conhecido pela malandragem""","pela parte do ""assassinou""","pela parte gravíssima do ""molestou","pela parte do molestou, indiferente o sexo",molestou indiferente da cor
as mulheres sofrem muito com molestamento e outras injustiças que maioria das vezes ficam realmente impunes,independente da idade tirar a vida de outra pessoa é extremamente errado,como disse antes molestar uma outra pessoa é algo muito sujo pra mim,matar uma pessoa é algo muito cruel,"são dois casos terríveis, mas eu escolho o primeiro caso por ser algo que acontece com muita frequência com as mulheres"
é o que vejo com mais frequência esse tipo de caso.,"pois não existe gangues aqui na cidade, então mais coerente é o caso 1",a questão feminina é mais perto da coesão,polícia não pode linchar,porque matou
porque molestou pra mim já é pena de morte,porque molestou pra mim é pena de morte,porque é crime com crianças,estupro tem que morrer,assassinou mulher
molestou.,assassinato.,assassinato.,assassinou.,molestou.
"por se tratar de um vizinho, cujo as informações da vítima podem ser conseguidas de forma mais fácil.","por se tratar de um crime cometido por um negro e o linchamento acontecer por via policial, o que é muito comum.","por ser um estupro de uma criança, ou seja, de alguém vulnerável.","por se tratar de um crime cometido por um negro, haja vista, que no brasil existe discriminação de cor.","por se tratar de um negro, adulto, cujo o crime foi cometido contra uma criança."
NA,NA,NA,NA,NA
pela situação os maiores casos,pela forma do fato,pela.consequência,estupro não tem justificação ou é morte ou cadeia perpétua,não vejo motivo de defender quem.comete crime
linchamento vindo da polícia é pior,não consegui ler p caso dois pois está cortando,gangues podem ser agressivas,"1 é pior, se trata de uma vítima criança e no caso 2 talvez a mulher estava se defendendo",pior
